word,phonetics
hello,həˈloʊ
thank you,θæŋk juː
please,pliːz
yes,jɛs
no,noʊ
excuse me,ɪkˈskjuːz miː
sorry,ˈsɑːri
goodbye,ˌɡʊdˈbaɪ
good morning,ˌɡʊd ˈmɔːrnɪŋ
good afternoon,ˌɡʊd ˌæftərˈnuːn
good evening,ˌɡʊd ˈiːvnɪŋ
good night,ˌɡʊd ˈnaɪt
how are you,haʊ ɑr juː
fine,faɪn
thank you,θæŋk juː
you're welcome,jʊr ˈwɛlkəm
what's your name,wɑːts jʊr neɪm
my name is,maɪ neɪm ɪz
nice to meet you,naɪs tuː miːt juː
where are you from,wɛr ɑr juː frʌm
I'm from,aɪm frʌm
do you speak English,duː juː spiːk ˈɪŋɡlɪʃ
I don't understand,aɪ doʊnt ˌʌndərˈstænd
could you speak slowly please,kʊd juː spiːk ˈsloʊli pliːz
how much is this,haʊ mʌtʃ ɪz ðɪs
where is the bathroom,wɛr ɪz ðə ˈbæθruːm
I need help,aɪ niːd hɛlp
water,ˈwɔːtər
food,fuːd
restaurant,ˈrɛstərɑːnt
hospital,ˈhɑːspɪtl
police,pəˈliːs
taxi,ˈtæksi
bus,bʌs
train,treɪn
airport,ˈɛrpɔːrt
hotel,hoʊˈtɛl
room,ruːm
reservation,ˌrɛzərˈveɪʃən
one,wʌn
two,tuː
three,θriː
four,fɔːr
five,faɪv
morning,ˈmɔːrnɪŋ
afternoon,ˌæftərˈnuːn
evening,ˈiːvnɪŋ
night,naɪt
today,təˈdeɪ
tomorrow,təˈmɑːroʊ
yesterday,ˈjɛstərdeɪ
